,Fecha,Texto,English_text,Autores,Coincidencia_elmundo,Coincidencia_elmundo_relativa,Clase,Label_clase,Clasif_label_zero,Scores_zero,Analisis_sentimiento,Label_sentimiento,Analisis_sentimiento_scd
0,2021-03-07,"hace unos dias ha comenzado su nueva gira de conciertos. 'no creia que tenia tantas ganas de cantar', confiesa a loc. el artista asturiano habla de musica, de politica y, como no, de ana belen.","A few days ago he began his new concert tour. 'I didn't think he wanted to sing so much,' he confesses to loc. The Asturian artist talks about music, politics and, of course, about ana belen.",ANA GARCA ROMERO,0.79,0.9186046511627908,noticia,1,music,0.9721669554710388,0.9886054992675781,1,0.9886054992675781
1,2021-03-07,"con 10.000 asistentes, el festival fue un caos en su primer dia: las colas para los test 'rapidos' de antigenos llegaron a tres horas y gran parte del publico no uso la ffp2 obligatoria","with 10,000 attendees, the festival was a chaos on its first day: the queues for the 'rapid' antigen tests reached three hours and much of the public did not use the mandatory ffp2",VANESSA GRAELL,0.76,0.8837209302325582,noticia,1,coronavirus,0.46181124448776245,0.996393084526062,-1,-0.996393084526062
2,2021-03-07,"este sabado se cumplen 50 años de la muerte del lider de the doors, quintaesencia del martir del rock. su perdida supuso el carpetazo a toda aquella energia sexual que libero el movimiento 'hippy'.","This Saturday marks the 50th anniversary of the death of the leader of the doors, quintessence of the martyr of rock. His loss was the binder to all that sexual energy that released the 'hippy' movement.",DARO PRIETO,0.74,0.8604651162790697,noticia,1,music,0.8574866652488708,0.9037729501724243,-1,-0.9037729501724243
3,2021-03-07,actualmente hay 2.412 pacientes ingresados por covid-19 (2.357 ayer) en españa y 586 en uci (584 ayer),"There are currently 2,412 patients admitted by covid-19 (2,357 yesterday) in Spain and 586 in Uci (584 yesterday)",ESTHER MUCIENTES  NOELIA MARN  JAVIER MUNERA,0.72,0.8372093023255813,noticia,1,coronavirus,0.7530639171600342,0.9266583919525146,-1,-0.9266583919525146
4,2021-03-07,"la oferta cultural veraniega en madrid es cada vez mas inabarcable y a ello contribuyen decisivamente los veranos de la villa, con mas de 50 propuestas repartidas a lo largo y ancho de diez distritos de la capital. musica, exposiciones, gastronomia, ilustracion, danza, artes escenic...","the summer cultural offer in madrid is increasingly inexhaustible and to this contribute decisively the summers of the villa, with more than 50 proposals distributed throughout and wide of ten districts of the capital. music, exhibitions, gastronomy, illustration, dance, scenic arts...",ISMAEL MARINERO,0.77,0.8953488372093024,noticia,1,music,0.6708694696426392,0.9996923804283142,1,0.9996923804283142
5,2021-02-07,"nace iconica sevilla fest, que se suma al amplio abanico de programas musicales en andalucia. se celebrara en la plaza de españa del 22 de septiembre al 10 de octubre, con jose carreras y sara baras, raphael o carla bruni","is born iconica sevilla fest, which adds to the wide range of musical programs in andalucia. it will be held in the square of spain from 22 September to 10 October, with jose races and sara baras, raphael or carla bruni",ANA GARCA ROMERO,0.86,1.0,noticia,1,music,0.9857843518257141,0.9996452331542969,1,0.9996452331542969
6,2021-02-07,festival el autocine madrid race celebra maudes un festival retrofuturista que acogera a los mejores artistas del panorama internacional y nacional de la musica electronica,festival the autocine madrid race celebrates maudes a retrofuturistic festival that will welcome the best artists from the international and national panorama of electronic music,MCANALES,0.77,0.8953488372093024,noticia,1,music,0.9461084008216858,0.9997826218605042,1,0.9997826218605042
7,2021-02-07,el musico y su banda completan el amplio cartel del festival que tendra lugar del 29 al 31 de octubre en benicàssim,the musician and his band complete the wide poster of the festival that will take place from 29 to 31 October in benicàssim,E M,0.84,0.9767441860465116,noticia,1,music,0.9847679138183594,0.9968628287315369,1,0.9968628287315369
8,2021-02-07,"este violinista de 24 años solo piensa en seguir estudiando, mantener su vida anterior e irse de casa de sus padres","This 24-year-old violinist only thinks about continuing to study, maintaining his previous life, and leaving his parents' house.",PABLO R ROCES,0.7,0.813953488372093,noticia,1,music,0.9912559390068054,0.9915383458137512,-1,-0.9915383458137512
9,2021-02-07,el concursante tinerfeño ha estado concursando un año en el formato y este jueves ha logrado alzarse con la victoria.,the contestant Tinerféño has been contesting for a year in the format and this Thursday has managed to rise with the victory.,GTRES  LOC,0.72,0.8372093023255813,noticia,1,elections,0.5460321307182312,0.9998296499252319,1,0.9998296499252319
